player_id,player,age,height_in,weight_lb,wingspan_in,years_experience,min_salary,max_salary
1643253,Toby Okani,24.0,80,210.0,83.98794629596165,0,1272870,38661750
1642449,Tolu Smith,25.0,83,,86.94028125073677,1,2048494,38661750
1628396,Tony Bradley,28.0,82,248.0,89.0,8,3287409,46394100
1641787,Tosan Evbuomwan,25.0,80,217.0,83.98794629596165,2,2296274,38661750
1641739,Toumani Camara,26.0,79,230.0,84.5,2,2296274,38661750
1629027,Trae Young,27.0,74,164.0,75.0,7,3080921,46394100
1631218,Trayce Jackson-Davis,26.0,81,245.0,85.0,2,2296274,38661750
1642848,Tre Johnson,20.0,77,190.0,82.25,0,1272870,38661750
1630200,Tre Jones,26.0,73,190.0,77.09916473481965,5,2667944,38661750
1630544,Tre Mann,25.0,76,178.0,76.0,4,2461463,38661750
1630570,Trendon Watford,25.0,80,245.0,86.25,4,2461463,38661750
1642280,Trentyn Flowers,21.0,81,185.0,80.25,1,2048494,38661750
1630286,Trevon Scott,29.0,80,225.0,83.98794629596165,4,2461463,38661750
1631211,Trevor Keels,22.0,75,215.0,79.25,3,2378870,38661750
1641725,Trey Alexander,23.0,77,185.0,82.0,1,2048494,38661750
1641998,Trey Jemison III,26.0,82,270.0,85.95616959914507,2,2296274,38661750
1630530,Trey Murphy III,25.0,80,206.0,84.0,4,2461463,38661750
1642400,Tristan Enaruna,24.0,79,220.0,83.00383464436993,0,1272870,38661750
1641774,Tristan Vukcevic,23.0,84,220.0,86.5,2,2296274,38661750
1641783,Tristan da Silva,25.0,80,217.0,82.25,1,2048494,38661750
1641803,Tristen Newton,25.0,77,190.0,78.75,1,2048494,38661750
1629660,Ty Jerome,28.0,77,195.0,76.0,6,2874436,38661750
1631102,TyTy Washington Jr.,24.0,75,195.0,80.0,3,2378870,38661750
1631174,Tyler Burton,26.0,79,215.0,83.00383464436993,0,1272870,38661750
1629639,Tyler Herro,26.0,77,195.0,75.25,6,2874436,38661750
1642278,Tyler Kolek,25.0,74,195.0,74.75,1,2048494,38661750
1641890,Tyler Smith,21.0,81,224.0,85.0,1,2048494,38661750
1631213,Tyrese Martin,27.0,78,215.0,82.01972299277821,3,2378870,38661750
1630178,Tyrese Maxey,25.0,74,200.0,78.08327638641137,5,2667944,38661750
1642878,Tyrese Proctor,22.0,76,185.0,79.25,0,1272870,38661750
1630623,Tyson Etienne,26.0,72,200.0,76.11505308322795,1,2048494,38661750
1626145,Tyus Jones,30.0,72,196.0,77.0,10,3634153,54126450
1642845,VJ Edgecombe,20.0,76,190.0,79.5,0,1272870,38661750
1641705,Victor Wembanyama,22.0,88,235.0,91.86083950869534,2,2296274,38661750
1631246,Vince Williams Jr.,25.0,76,205.0,80.05149968959479,3,2378870,38661750
1642884,Vladislav Goldin,25.0,84,250.0,89.25,0,1272870,38661750
1630249,Vít Krejčí,25.0,80,195.0,83.98794629596165,4,2461463,38661750
1631117,Walker Kessler,24.0,86,245.0,88.25,3,2378870,38661750
1642383,Walter Clayton Jr.,23.0,76,195.0,76.0,0,1272870,38661750
1628976,Wendell Carter Jr.,27.0,82,270.0,88.5,7,3080921,46394100
1631111,Wendell Moore Jr.,24.0,77,215.0,84.5,3,2378870,38661750
1642954,Will Richard,23.0,75,206.0,79.06738803800309,0,1272870,38661750
1642860,Will Riley,20.0,81,180.0,80.75,0,1272870,38661750
1630214,Xavier Tillman,27.0,80,245.0,86.0,5,2667944,38661750
1642905,Yang Hansen,20.0,85,270.0,86.75,0,1272870,38661750
1642949,Yanic Konan Niederhäuser,23.0,83,242.0,87.25,0,1272870,38661750
1642530,Yuki Kawamura,25.0,67,159.0,71.19449482526939,1,2048494,38661750
1642274,Yves Missi,22.0,83,235.0,86.0,1,2048494,38661750
1642258,Zaccharie Risacher,21.0,80,200.0,81.5,1,2048494,38661750
1628380,Zach Collins,28.0,81,240.0,85.0,8,3287409,46394100
1641744,Zach Edey,24.0,87,305.0,94.5,1,2048494,38661750
203897,Zach LaVine,31.0,77,200.0,80.25,11,3634153,54126450
1630192,Zeke Nnaji,25.0,82,240.0,86.0,5,2667944,38661750
1630533,Ziaire Williams,24.0,81,185.0,82.25,4,2461463,38661750
1629627,Zion Williamson,25.0,78,284.0,82.01972299277821,6,2874436,38661750
1642389,Zyon Pullin,25.0,76,206.0,80.05149968959479,1,2048494,38661750
